Timestamp;ObjectName;ID;correct;scene;PlaceInOrder;condition
457.30;ERPTagsS1 ERPFlashTag2D (1) ERPFlashTagFeedback;11LK66;1;3;2;gamified
461.90;ERPTagsS2 ERPFlashTag2D (3) ERPFlashTagFeedback;11LK66;1;3;2;gamified
465.36;ERPTagsS3 ERPFlashTag2D (4) ERPFlashTagFeedback;11LK66;1;3;2;gamified
468.82;ERPTagsS4 ERPFlashTag2D (2) ERPFlashTagFeedback;11LK66;1;3;2;gamified
471.84;ERPTagsS5 ERPFlashTag2D (2) ERPFlashTagFeedback;11LK66;0;3;2;gamified
474.40;ERPTagsS5 ERPFlashTag2D (4) ERPFlashTagFeedback;11LK66;1;3;2;gamified
477.58;ERPTagsS6 ERPFlashTag2D (1) ERPFlashTagFeedback;11LK66;1;3;2;gamified
481.46;ERPTagsS7 ERPFlashTag2D (3) ERPFlashTagFeedback;11LK66;1;3;2;gamified
484.75;ERPTagsS8 ERPFlashTag2D (2) ERPFlashTagFeedback;11LK66;1;3;2;gamified
