Timestamp;ObjectName;ID;correct;scene;PlaceInOrder;condition
129.60;ERPTags1Standard ERPFlashTag2D (2) ERPFlashTagFeedback;07az26;0;1;2;standard
129.84;ERPTags1Standard ERPFlashTag2D (2) ERPFlashTagFeedback;07az26;0;1;2;standard
131.91;ERPTags1Standard ERPFlashTag2D (4) ERPFlashTagFeedback;07az26;1;1;2;standard
135.46;ERPTags2Standard ERPFlashTag2D (2) ERPFlashTagFeedback;07az26;0;1;2;standard
137.95;ERPTags2Standard ERPFlashTag2D (3) ERPFlashTagFeedback;07az26;1;1;2;standard
142.40;ERPTags3Standard ERPFlashTag2D (1) ERPFlashTagFeedback;07az26;1;1;2;standard
145.99;ERPTags4Standard ERPFlashTag2D (1) ERPFlashTagFeedback;07az26;0;1;2;standard
149.35;ERPTags4Standard ERPFlashTag2D (2) ERPFlashTagFeedback;07az26;1;1;2;standard
152.93;ERPTags5Standard ERPFlashTag2D (2) ERPFlashTagFeedback;07az26;0;1;2;standard
153.25;ERPTags5Standard ERPFlashTag2D (2) ERPFlashTagFeedback;07az26;0;1;2;standard
154.64;ERPTags5Standard ERPFlashTag2D (3) ERPFlashTagFeedback;07az26;1;1;2;standard
160.42;ERPTags6Standard ERPFlashTag2D (4) ERPFlashTagFeedback;07az26;1;1;2;standard
165.34;ERPTags7Standard ERPFlashTag2D (1) ERPFlashTagFeedback;07az26;0;1;2;standard
166.39;ERPTags7Standard ERPFlashTag2D (2) ERPFlashTagFeedback;07az26;1;1;2;standard
170.72;ERPTags8Standard ERPFlashTag2D (1) ERPFlashTagFeedback;07az26;1;1;2;standard
186.07;ERPTags1Standard2 ERPFlashTag2D (3) ERPFlashTagFeedback;07az26;1;2;2;standard
189.63;ERPTags2Standard2 ERPFlashTag2D (3) ERPFlashTagFeedback;07az26;0;2;2;standard
192.13;ERPTags2Standard2 ERPFlashTag2D (1) ERPFlashTagFeedback;07az26;1;2;2;standard
195.66;ERPTags3Standard2 ERPFlashTag2D (2) ERPFlashTagFeedback;07az26;1;2;2;standard
201.36;ERPTags4Standard2 ERPFlashTag2D (4) ERPFlashTagFeedback;07az26;1;2;2;standard
204.91;ERPTags5Standard2 ERPFlashTag2D (4) ERPFlashTagFeedback;07az26;0;2;2;standard
206.66;ERPTags5Standard2 ERPFlashTag2D (2) ERPFlashTagFeedback;07az26;1;2;2;standard
210.19;ERPTags6Standard2 ERPFlashTag2D (2) ERPFlashTagFeedback;07az26;0;2;2;standard
212.48;ERPTags6Standard2 ERPFlashTag2D (3) ERPFlashTagFeedback;07az26;1;2;2;standard
218.84;ERPTags7Standard2 ERPFlashTag2D (4) ERPFlashTagFeedback;07az26;1;2;2;standard
222.41;ERPTags8Standard2 ERPFlashTag2D (4) ERPFlashTagFeedback;07az26;0;2;2;standard
224.97;ERPTags8Standard2 ERPFlashTag2D (1) ERPFlashTagFeedback;07az26;1;2;2;standard
239.95;ERPTags1Standard3 ERPFlashTag2D (1) ERPFlashTagFeedback;07az26;1;3;2;standard
243.49;ERPTags2Standard3 ERPFlashTag2D (1) ERPFlashTagFeedback;07az26;0;3;2;standard
245.23;ERPTags2Standard3 ERPFlashTag2D (3) ERPFlashTagFeedback;07az26;1;3;2;standard
248.79;ERPTags3Standard3 ERPFlashTag2D (3) ERPFlashTagFeedback;07az26;0;3;2;standard
249.18;ERPTags3Standard3 ERPFlashTag2D (3) ERPFlashTagFeedback;07az26;0;3;2;standard
249.58;ERPTags3Standard3 ERPFlashTag2D (3) ERPFlashTagFeedback;07az26;0;3;2;standard
253.39;ERPTags4Standard3 ERPFlashTag2D (4) ERPFlashTagFeedback;07az26;0;3;2;standard
253.61;ERPTags4Standard3 ERPFlashTag2D (4) ERPFlashTagFeedback;07az26;0;3;2;standard
254.31;ERPTags4Standard3 ERPFlashTag2D (2) ERPFlashTagFeedback;07az26;1;3;2;standard
259.23;ERPTags5Standard3 ERPFlashTag2D (1) ERPFlashTagFeedback;07az26;1;3;2;standard
262.75;ERPTags6Standard3 ERPFlashTag2D (1) ERPFlashTagFeedback;07az26;0;3;2;standard
263.86;ERPTags6Standard3 ERPFlashTag2D (4) ERPFlashTagFeedback;07az26;1;3;2;standard
268.25;ERPTags7Standard3 ERPFlashTag2D (3) ERPFlashTagFeedback;07az26;1;3;2;standard
271.83;ERPTags8Standard3 ERPFlashTag2D (3) ERPFlashTagFeedback;07az26;0;3;2;standard
273.32;ERPTags8Standard3 ERPFlashTag2D (2) ERPFlashTagFeedback;07az26;1;3;2;standard
