ID,scene,SceneAccuracy,condition
02JO85,1,0.7272727272727273,gamified
02JO85,2,0.7272727272727273,gamified
02JO85,3,0.7272727272727273,gamified
07az26,1,0.6153846153846154,gamified
07az26,2,1.0,gamified
07az26,3,0.8,gamified
08MA21,1,0.5384615384615384,gamified
08MA21,2,0.7272727272727273,gamified
08MA21,3,1.0,gamified
09HA13,1,0.8888888888888888,gamified
09HA13,2,0.6666666666666666,gamified
09HA13,3,0.8,gamified
10PE77,1,0.5333333333333333,gamified
10PE77,2,0.8,gamified
10PE77,3,0.8888888888888888,gamified
11LK66,1,0.6666666666666666,gamified
11LK66,2,0.8,gamified
11LK66,3,0.8888888888888888,gamified
15JO96,1,0.5714285714285714,gamified
15JO96,2,0.7272727272727273,gamified
15JO96,3,0.6153846153846154,gamified
17BE17,1,0.4285714285714285,gamified
17BE17,2,1.0,gamified
17BE17,3,0.5,gamified
17HE69,1,0.8888888888888888,gamified
17HE69,2,0.7272727272727273,gamified
17HE69,3,0.8,gamified
19RA95,1,0.5,gamified
19RA95,2,0.7,gamified
19RA95,3,0.5,gamified
21EL67,1,0.5,gamified
21EL67,2,0.8888888888888888,gamified
21EL67,3,0.8,gamified
27JA04,1,0.5,gamified
27JA04,2,0.8888888888888888,gamified
27JA04,3,0.7777777777777778,gamified
28CO38,1,0.7272727272727273,gamified
28CO38,2,0.7,gamified
28CO38,3,1.0,gamified
29MA29,1,1.0,gamified
29MA29,2,1.0,gamified
29MA29,3,0.8888888888888888,gamified
2BR68,1,0.7272727272727273,gamified
2BR68,2,0.7272727272727273,gamified
2BR68,3,0.6666666666666666,gamified
2MA07,1,0.5384615384615384,gamified
2MA07,2,1.0,gamified
2MA07,3,0.8,gamified
02JO85,1,0.875,standard
02JO85,2,0.6153846153846154,standard
02JO85,3,0.8,standard
07az26,1,0.6153846153846154,standard
07az26,2,0.6666666666666666,standard
07az26,3,0.5833333333333334,standard
08MA21,1,0.5333333333333333,standard
08MA21,2,0.4705882352941176,standard
08MA21,3,0.5,standard
09HA13,1,0.6666666666666666,standard
09HA13,2,0.7272727272727273,standard
09HA13,3,0.7272727272727273,standard
10PE77,1,0.5333333333333333,standard
10PE77,2,0.6153846153846154,standard
10PE77,3,0.5384615384615384,standard
11LK66,1,0.8888888888888888,standard
11LK66,2,0.8,standard
11LK66,3,1.0,standard
15JO96,1,0.8888888888888888,standard
15JO96,2,0.7272727272727273,standard
15JO96,3,0.5714285714285714,standard
17BE17,1,0.6153846153846154,standard
17BE17,2,0.5454545454545454,standard
17BE17,3,0.8,standard
17HE69,1,0.5333333333333333,standard
17HE69,2,0.5714285714285714,standard
17HE69,3,0.6153846153846154,standard
19RA95,1,0.5833333333333334,standard
19RA95,2,0.5,standard
19RA95,3,0.3333333333333333,standard
21EL67,1,0.5333333333333333,standard
21EL67,2,0.7272727272727273,standard
21EL67,3,0.6666666666666666,standard
27JA04,1,0.8888888888888888,standard
27JA04,2,0.8888888888888888,standard
27JA04,3,0.8,standard
28CO38,1,0.6153846153846154,standard
28CO38,2,0.5714285714285714,standard
28CO38,3,0.6153846153846154,standard
29MA29,1,0.8,standard
29MA29,2,0.7777777777777778,standard
29MA29,3,0.5454545454545454,standard
2BR68,1,0.5333333333333333,standard
2BR68,2,0.7777777777777778,standard
2BR68,3,0.5714285714285714,standard
2MA07,1,0.6153846153846154,standard
2MA07,2,0.6666666666666666,standard
2MA07,3,0.5714285714285714,standard
