Timestamp;ObjectName;ID;correct;scene;PlaceInOrder;condition
389.05;ERPTagsA1 ERPFlashTag2D (4) ERPFlashTagFeedback;07az26;1;1;1;gamified
394.78;ERPTagsA2 ERPFlashTag2D (2) ERPFlashTagFeedback;07az26;1;1;1;gamified
398.38;ERPTagsA3 ERPFlashTag2D (2) ERPFlashTagFeedback;07az26;0;1;1;gamified
401.89;ERPTagsA3 ERPFlashTag2D (3) ERPFlashTagFeedback;07az26;1;1;1;gamified
405.42;ERPTagsA4 ERPFlashTag2D (3) ERPFlashTagFeedback;07az26;0;1;1;gamified
408.79;ERPTagsA4 ERPFlashTag2D (1) ERPFlashTagFeedback;07az26;1;1;1;gamified
412.33;ERPTagsA5 ERPFlashTag2D (1) ERPFlashTagFeedback;07az26;0;1;1;gamified
414.03;ERPTagsA5 ERPFlashTag2D (3) ERPFlashTagFeedback;07az26;1;1;1;gamified
417.60;ERPTagsA6 ERPFlashTag2D (3) ERPFlashTagFeedback;07az26;0;1;1;gamified
419.86;ERPTagsA6 ERPFlashTag2D (2) ERPFlashTagFeedback;07az26;1;1;1;gamified
426.80;ERPTagsA7 ERPFlashTag2D (4) ERPFlashTagFeedback;07az26;1;1;1;gamified
430.36;ERPTagsA8 ERPFlashTag2D (4) ERPFlashTagFeedback;07az26;0;1;1;gamified
433.64;ERPTagsA8 ERPFlashTag2D (1) ERPFlashTagFeedback;07az26;1;1;1;gamified
