Timestamp;ObjectName;ID;correct;scene;PlaceInOrder;condition
299.64;ERPTagsA1 ERPFlashTag2D (2) ERPFlashTagFeedback;21EL67;0;1;2;gamified
300.89;ERPTagsA1 ERPFlashTag2D (2) ERPFlashTagFeedback;21EL67;0;1;2;gamified
301.11;ERPTagsA1 ERPFlashTag2D (2) ERPFlashTagFeedback;21EL67;0;1;2;gamified
304.66;ERPTagsA2 ERPFlashTag2D (4) ERPFlashTagFeedback;21EL67;0;1;2;gamified
307.92;ERPTagsA2 ERPFlashTag2D (2) ERPFlashTagFeedback;21EL67;1;1;2;gamified
311.45;ERPTagsA3 ERPFlashTag2D (2) ERPFlashTagFeedback;21EL67;0;1;2;gamified
314.25;ERPTagsA3 ERPFlashTag2D (3) ERPFlashTagFeedback;21EL67;1;1;2;gamified
317.90;ERPTagsA4 ERPFlashTag2D (3) ERPFlashTagFeedback;21EL67;0;1;2;gamified
318.94;ERPTagsA4 ERPFlashTag2D (1) ERPFlashTagFeedback;21EL67;1;1;2;gamified
322.56;ERPTagsA5 ERPFlashTag2D (1) ERPFlashTagFeedback;21EL67;0;1;2;gamified
325.44;ERPTagsA5 ERPFlashTag2D (3) ERPFlashTagFeedback;21EL67;1;1;2;gamified
330.75;ERPTagsA6 ERPFlashTag2D (2) ERPFlashTagFeedback;21EL67;1;1;2;gamified
336.16;ERPTagsA7 ERPFlashTag2D (4) ERPFlashTagFeedback;21EL67;1;1;2;gamified
339.92;ERPTagsA8 ERPFlashTag2D (4) ERPFlashTagFeedback;21EL67;0;1;2;gamified
341.60;ERPTagsA8 ERPFlashTag2D (1) ERPFlashTagFeedback;21EL67;1;1;2;gamified
