Timestamp;ObjectName;ID;correct;scene;PlaceInOrder;condition
310.78;ERPTagsA1 ERPFlashTag2D (4) ERPFlashTagFeedback;10PE77;1;1;1;gamified
314.40;ERPTagsA2 ERPFlashTag2D (4) ERPFlashTagFeedback;10PE77;0;1;1;gamified
316.18;ERPTagsA2 ERPFlashTag2D (4) ERPFlashTagFeedback;10PE77;0;1;1;gamified
319.41;ERPTagsA2 ERPFlashTag2D (2) ERPFlashTagFeedback;10PE77;1;1;1;gamified
325.75;ERPTagsA3 ERPFlashTag2D (3) ERPFlashTagFeedback;10PE77;1;1;1;gamified
332.96;ERPTagsA4 ERPFlashTag2D (1) ERPFlashTagFeedback;10PE77;1;1;1;gamified
336.50;ERPTagsA5 ERPFlashTag2D (1) ERPFlashTagFeedback;10PE77;0;1;1;gamified
338.17;ERPTagsA5 ERPFlashTag2D (1) ERPFlashTagFeedback;10PE77;0;1;1;gamified
339.70;ERPTagsA5 ERPFlashTag2D (3) ERPFlashTagFeedback;10PE77;1;1;1;gamified
343.27;ERPTagsA6 ERPFlashTag2D (3) ERPFlashTagFeedback;10PE77;0;1;1;gamified
345.96;ERPTagsA6 ERPFlashTag2D (2) ERPFlashTagFeedback;10PE77;1;1;1;gamified
349.88;ERPTagsA7 ERPFlashTag2D (2) ERPFlashTagFeedback;10PE77;0;1;1;gamified
351.15;ERPTagsA7 ERPFlashTag2D (4) ERPFlashTagFeedback;10PE77;1;1;1;gamified
354.75;ERPTagsA8 ERPFlashTag2D (4) ERPFlashTagFeedback;10PE77;0;1;1;gamified
356.28;ERPTagsA8 ERPFlashTag2D (1) ERPFlashTagFeedback;10PE77;1;1;1;gamified
