Timestamp;ObjectName;ID;correct;scene ;PlaceInOrder;condition
503.87;ERPTagsW 1 ERPFlashTag2D (3) ERPFlashTagFeedback;29MA29;1;2;2;gamified
511.76;ERPTagsW 2 ERPFlashTag2D (3) ERPFlashTagFeedback;29MA29;1;2;2;gamified
517.89;ERPTagsW 3 ERPFlashTag2D (2) ERPFlashTagFeedback;29MA29;1;2;2;gamified
524.90;ERPTagsW 4 ERPFlashTag2D (4) ERPFlashTagFeedback;29MA29;1;2;2;gamified
531.84;ERPTagsW 5 ERPFlashTag2D (1) ERPFlashTagFeedback;29MA29;1;2;2;gamified
539.26;ERPTagsW 6 ERPFlashTag2D (2) ERPFlashTagFeedback;29MA29;1;2;2;gamified
546.00;ERPTagsW 7 ERPFlashTag2D (3) ERPFlashTagFeedback;29MA29;1;2;2;gamified
553.04;ERPTagsW 8 ERPFlashTag2D (1) ERPFlashTagFeedback;29MA29;1;2;2;gamified
