Timestamp;ObjectName;ID;correct;scene;PlaceInOrder;condition
536.32;ERPTagsW 1 ERPFlashTag2D (2) ERPFlashTagFeedback;07az26;1;2;1;gamified
538.23;ERPTagsW 1 ERPFlashTag2D (3) ERPFlashTagFeedback;07az26;1;2;1;gamified
547.26;ERPTagsW 2 ERPFlashTag2D (3) ERPFlashTagFeedback;07az26;1;2;1;gamified
554.83;ERPTagsW 3 ERPFlashTag2D (2) ERPFlashTagFeedback;07az26;1;2;1;gamified
562.96;ERPTagsW 4 ERPFlashTag2D (4) ERPFlashTagFeedback;07az26;1;2;1;gamified
570.06;ERPTagsW 5 ERPFlashTag2D (1) ERPFlashTagFeedback;07az26;1;2;1;gamified
575.16;ERPTagsW 6 ERPFlashTag2D (2) ERPFlashTagFeedback;07az26;1;2;1;gamified
580.21;ERPTagsW 7 ERPFlashTag2D (3) ERPFlashTagFeedback;07az26;1;2;1;gamified
585.26;ERPTagsW 8 ERPFlashTag2D (1) ERPFlashTagFeedback;07az26;1;2;1;gamified
